NovelsName,NormalizedName
Kyleg,Kyleg of the Wooden Ear
Kyra,Kyra
Lacey,Lacey
Lady Deddings,Lady Deddings
Lady Jordayne,Myria Jordayne
Lady of the Leaves,Lady of the Leaves
Lady Rykker,
Lady Shella,Shella
Lambert Turnberry,Lambert Turnberry
Lambert Whitewater,Lambert Whitewater
Lamprey,Lamprey
Lancel Lannister,Lancel Lannister
Lann the Clever,Lann the Clever
Lanna,
Larence Snow,Larence Snow
Lark,Lark the Sisterman
Larra Blackmont,Larra Blackmont
Larraq,Larraq
Laswell Peake,Laswell Peake
Layna,Layna
Leaf,Leaf
Leathers,Leathers
Left Hand Lew,Left Hand Lew
Lem,Lem
Lemore,Lemore
Lenn,Lenn
Lennocks,Lennocks
Lenwood Tawney,Lenwood Tawney
Lenyl,Lenyl
Leo Lefford,Leo Lefford
Leo Tyrell,
Leobald Tallhart,Leobald Tallhart
Leona Manderly,Leona Woolfield
Leonette Fossoway,Leonette Fossoway
Leslyn,Leslyn
Leslyn Haigh,Leslyn Haigh
Lester,Lester
Lester Morrigen,Lester Morrigen
Lew,Lew
Lewis Lanster,Lewis Lanster
Lewyn Martell,Lewyn Martell
Lewys,
Lewys Lydden,Lewys Lydden
Lewys Piper,Lewys Piper
Leyton Hightower,Leyton Hightower
Lharys,Lharys
Liddle man,
Likely Luke,Likely Luke
Lister,Lister
Little Matt,Matt
Little Walder,Walder Frey (son of Merrett)
Lollys Stokeworth,Lollys Stokeworth
Lomas Longstrider,Lomas Longstrider
Lommy Greenhands,Lommy Greenhands
Long Lew,Long Lew
Longwater Pyke,Longwater Pyke
Loras Tyrell,Loras Tyrell
Lord Belgrave,Lord Belgrave
Lord Blackwood,
Lord Borrell,Lord Borrell (father of Godric)
Lord Bracken,Lord Bracken
Lord Cafferen,Lord Cafferen
Lord Caswell,Lord Caswell
Lord Cerwyn,
Lord Chyttering,Chyttering (father of Lucos)
Lord Commander Hoare,Lord Commander Hoare
Lord Commander Qorgyle,Lord Commander Qorgyle
Lord Corbray,
Lord Crakehall,
Lord Darry,
Lord Deddings,Lord Deddings
Lord Deremond,Deremond
Lord Dondarrion,
Lord Estermont,
Lord Farman,
Lord Fell,Lord Fell
Lord Goodbrook,
Lord Grandison,Lord Grandison
Lord Harroway,
Lord Lothston,
Lord Mooton,
Lord of Godsgrace,
Lord Penrose,Lord Penrose
Lord Roote,Lucas Roote
Lord Ryswell,Lord Ryswell (Night's Watch)
Lord Serrett,Lord Serrett
Lord Slate,Lord Slate
Lord Swann,
Lord Whent,
Lord Willum,Lord Willum
Lord Wobblecheeks,Ghazdor zo Ahlaq
Loren Lannister,Loren I Lannister
Lorent Caswell,Lorent Caswell
Loreza Sand,Loreza Sand
Lorimer the Belly,Lorimer the Belly
Lormelle Long Lance,Lormelle Long Lance
Loron Greyjoy,Loron Greyjoy
Lorren,Black Lorren
Lorren Longaxe,Lorren Longaxe
Lothar Frey,Lothar Frey
Lothar Mallery,Lothar Mallery
Lotho Lornel,Lotho Lornel
Lothor Brune,Lothor Brune
Loyal Spear,Loyal Spear
Lucamore Strong,Lucamore Strong
Lucan,Lucan
Lucantine Woodwright,Lucantine Woodwright
Lucas Blackwood,Lucas Blackwood
Lucas Codd,Lucas Codd
Lucas Lothston,Lucas Lothston (father of Manfryd)
Lucas Roote,Lucas Roote
Lucias Vypren,Lucias Vypren
Lucifer Hardy,Lucifer Hardy
Lucifer Long,Lucifer Long
Luco Prestayn,Luco Prestayn
Lucos Chyttering,Lucos Chyttering
Luke of Longtown,Luke of Longtown
Lum,Lum
Luthor Tyrell,Luthor Tyrell
Luton,Luton
Lyanna Mormont,Lyanna Mormont
Lyanna Stark,Lyanna Stark
Lyessa Flint,Lyessa Flint
Lyle Crakehall,Lyle Crakehall
Lyman Darry,Lyman Darry
Lymond Goodbrook,Lymond Goodbrook
Lymond Lychester,Lymond Lychester
Lymond Pease,Lymond Pease
Lymond Vikary,Lymond Vikary
Lyn Corbray,Lyn Corbray
Lync,Lync
Lynesse Hightower,Lynesse Hightower
Lyonel Corbray,Lyonel Corbray
Lyonel Selmy,Lyonel Selmy
Lyonel Tyrell,Lyonel Tyrell (lord)
Lyra Mormont,Lyra Mormont
Lysa Arryn,Lysa Arryn
Lysono Maar,Lysono Maar
Lythene Frey,Lythene Frey
Mace Tyrell,Mace Tyrell
Mad Axe,Mad Axe
Maddy,Maddy
Maege Mormont,Maege Mormont
Maegor the Cruel,Maegor I Targaryen
Maekar Targaryen,Maekar I Targaryen
Maelys Blackfyre,Maelys Blackfyre
Maerie the Whore,Maerie the Whore
Maester Aethelmure,Aethelmure
Maester Ballabar,Ballabar
Maester Brenett,Brenett
Maester Caleotte,Caleotte
Maester Colemon,Colemon
Maester Cressen,Cressen
Maester Denestan,Denestan
Maester Erreck,Erreck
Maester Frenken,Frenken
Maester Gormon,Gormon Tyrell
Maester Gulian,Gulian
Maester Harmune,Harmune
Maester Helliweg,Helliweg
Maester Joseran,Joseran
Maester Kedry,Kedry
Maester Kym,Kym
Maester Luwin,Luwin
Maester Malleon,Malleon
Maester Medrick,Medrick
Maester Mullin,Mullin
Maester Munkun,Munkun
Maester Murenmure,Murenmure
Maester Myles,Myles
Maester Ottomore,Ottomore
Maester Pycelle,Pycelle
Maester Pylos,Pylos
Maester Qalen,Qalen
Maester Rhodry,Rhodry
Maester Roone,Roone
Maester Theomore,Theomore
Maester Thomax,Thomax
Maester Tothmure,Tothmure
Maester Turquin,Turquin
Maester Uthor,Uthor
Maester Vyman,Vyman
Maester Walys,Walys Flowers
Maester Willamen,Willamen Frey
Mag the Mighty,Mag Mar Tun Doh Weg
Maggy the Frog,Maggy the Frog
Magister Ordello,Ordello
Mago,Mago
Maisie,Maisie
Malaquo Maegyr,Malaquo Maegyr
Mallador Locke,Mallador Locke
Malliard,Malliard
Mallor,Mallor
Malo Jayn,Malo Jayn
Mance Rayder,Mance Rayder
Mandon Moore,Mandon Moore
Manfred Swann,Manfred Swann
Manfrey Martell,Manfrey Martell
Manfryd Lothston,Manfryd Lothston
Manfryd Merlyn,Manfryd Merlyn
Manfryd Yew,Manfryd Yew
Manly Stokeworth,Manly Stokeworth
Marei,Marei
Margaery Tyrell,Margaery Tyrell
Marghaz zo Loraq,Marghaz zo Loraq
Marianne Frey,Merianne Frey
Maric Seaworth,Maric Seaworth
Marillion,Marillion
Marissa Frey,Marissa Frey
Mariya Darry,Mariya Darry
Mark Mullendore,Mark Mullendore
Mark Ryswell,Mark Ryswell
Marlon Manderly,Marlon Manderly
Maron Botley,Maron Botley
Maron Greyjoy,Maron Greyjoy
Maron Martell,Maron Martell
Maron Volmark,Maron Volmark
Marq Grafton,Marq Grafton
Marq Mandrake,Marq Mandrake
Marq Piper,Marq Piper
Marq Rankenfell,Marq Rankenfell
Marselen,Marselen
Marsh King,
Martyn Cassel,Martyn Cassel
Martyn Lannister,Martyn Lannister
Martyn Rivers,Martyn Rivers
Marwyn,Marwyn
Marwyn Belmore,Marwyn Belmore
Marya Seaworth,Marya Seaworth
Masha Heddle,Masha Heddle
Maslyn,Maslyn
Matarys Targaryen,Matarys Targaryen
Mathis Rowan,Mathis Rowan
Mathos Mallarawan,Mathos Mallarawan
Matrice,Matrice
Matthar,Matthar
Matthos Seaworth,Matthos Seaworth
Mawney,Mawney
Mazdhan the Magnificent,Mazdhan zo Loraq
Mebble,Mebble Pinkeye
Medger Cerwyn,Medger Cerwyn
Medrick,Medrick
Meera Reed,Meera Reed
Megga Tyrell,Megga Tyrell
Meha,Meha
Meizo Mahr,Meizo Mahr
Mela,Mela
Melara Hetherspoon,Melara Hetherspoon
Meldred Merlyn,Meldred Merlyn
Melessa Florent,Melessa Florent
Meliana,Meliana
Melisandre,Melisandre
Melissa Blackwood,Melissa Blackwood
Mellario Martell,Mellario
Mellei,Mellei
Melly,Melly
Meralyn,Meralyn
Meredyth Crane,Meredyth Crane
Meribald,Meribald
Meris,Meris
Merling Queen,Merling Queen
Merlon Crakehall,Merlon Crakehall
Mern Gardener,Mern IX Gardener
Mero,Mero
Merrel,Merrel
Merrett Frey,Merrett Frey
Merrit,Merrit
Merry,Meralyn
Merry Crane,Meredyth Crane
Merry Frey,Merianne Frey
Meryn Trant,Meryn Trant
Methyso,Methyso
Mezzara,Mezzara Merreq
Michael Mertyns,Michael Mertyns
Mikken,Mikken
Miklaz,Miklaz
Minisa Tully,Minisa Whent
Mirri Maz Duur,Mirri Maz Duur
Missandei,Missandei
Mohor,Mohor
Mollander,Mollander
Mollono Yos Dob,Mollono Yos Dob
Monford Velaryon,Monford Velaryon
Monster,Monster
Monterys Velaryon,Monterys Velaryon
Moon Boy,Moon Boy
Moonshadow,Moonshadow
Moqorro,Moqorro
Mord,Mord
Moredo Prestayn,Moredo Prestayn
Moreo Tumitis,Moreo Tumitis
Morgan,Morgan
Morgan Liddle,Morgan Liddle
Morgarth,Morgarth
Morgo,Morgo
Moribald Chester,Moribald Chester
Morna White Mask,Morna White Mask
Moro,Moro
Morosh,Morosh the Myrman
Morra,Morra
Morrec,Morrec
Morros Slynt,Morros Slynt
Mors Manwoody,Mors Manwoody
Mors Martell,Mors Martell
Mors Umber,Mors Umber
Morton Waynwood,Morton Waynwood
Moryn Tyrell,Moryn Tyrell
Mossador,Mossador
Mother Mole,Mother Mole
mother of Barra,
Motho,Motho
Mudge,
Mully,Mully
Munciter,Munciter
Munda,Munda
Murch,Murch
Murch the huntsman,Murch (Winterfell)
Muttering Bill,Muttering Bill
Mya Stone,Mya Stone
Mycah,Mycah
Mychel Redfort,Mychel Redfort
Myles,Myles
Myles Manwoody,Myles Manwoody
Myles Mooton,Myles Mooton
Myles Smallwood,Myles Smallwood
Myles Toyne,Myles Toyne
Myranda Royce,Myranda Royce
Myrcella Baratheon,Myrcella Baratheon
Myria Jordayne,Myria Jordayne
Myriah Martell,Myriah Martell
Myrio Myrakis,Myrio Myrakis
Myrmello,Myrmello
Myrtle,Myrtle
Naerys Targaryen,Naerys Targaryen
Nage,Nage
Naggle,Naggle
Nail,Nail
naked serving girl,
Narbert Grandison,Narbert Grandison
Narbo,Narbo
Ned Woods,Ned Woods
Nella,Nella
Nestor Royce,Nestor Royce
Night's King,Night's King
Night's Watch guard,
Nissa Nissa,Nissa Nissa
Noho Dimittis,Noho Dimittis
Nolla,Nolla
Norbert Vance,Norbert Vance
Norjen,Norjen
Norne Goodbrother,Norne Goodbrother
Notch,Notch
Nurse,Nurse
Nute,Nute
Nyessos Vhossar,Nyessos Vhassar
Nymella Toland,Nymella Toland
Nymeria,Nymeria
Nymeria Sand,Nymeria Sand
Obara Sand,Obara Sand
Obella Sand,Obella Sand
Oberyn Martell,Oberyn Martell
Oberyn's Mother,
Ogo,Ogo
Old Henly,Old Henly
Old King Andahar,Andahar
Old Lord Dustin,
Old Nan,Nan
Old Pate,Old Pate
old slave,
Old Tattersalt,Old Tattersalt
old woman,
Olenna Redwyne,Olenna Redwyne
Ollidor,Ollidor
Ollo Lophand,Ollo Lophand
Olyvar Frey,Olyvar Frey
Olyvar Martell,Olyvar Martell
Olyvar Oakheart,Olyvar Oakheart
Omer Blackberry,Omer Blackberry
Ondrew Locke,Ondrew Locke
one-armed woman,
Oppo,Oppo
Orbelo,Orbelo
Orbert Caswell,Orbert Caswell
Orell,Orell
Orivel,Orivel
Orland of Oldtown,Orland of Oldtown
Ormond Yronwood,Ormond Yronwood
Ormund Wylde,Ormund Wylde
Orphan Ben,Ben
Orphan Jon Penny,Jon Penny
Orphan Oss,Orphan Oss
Orphan Pate,Pate (orphan)
Orphan Tansy,Tansy (orphan)
Orphan Wat,Wat (orphan)
Orphan Will,Will (orphan)
Orson Stone,Orson Stone
Orton Merryweather,Orton Merryweather
Osbert Serry,Osbert Serry
Osfryd Kettleblack,Osfryd Kettleblack
Osgood Arryn,Osgood Arryn
Osha,Osha
Osmund Kettleblack,Osmund Kettleblack
Osney Kettleblack,Osney Kettleblack
Osric Stark,Osric Stark
Ossifer Plum,Ossifer Plumm
Ossifer Plumm,Ossifer Plumm
Ossy,Ossy
Oswell Kettleblack,Oswell Kettleblack
Oswell Whent,Oswell Whent
Oswin Arryn,Oswin Arryn
Oswyn Longneck,Oswyn Longneck the Thrice-Hanged
Othell Yarwyck,Othell Yarwyck
Other 1,
Other 2,
Othor,Othor
Otter Gimpknee,Otter Gimpknee
Otto Hightower,Otto Hightower
Ottyn Wythers,Ottyn Wythers
Owen,Owen (knight)
Owen Inchfield,Owen Inchfield
Owen Merryweather,Owen Merryweather
Owen Norrey,Owen Norrey
Owen the Oaf,Owen the Oaf
Oznak zo Pahl,Oznak zo Pahl
Palla,Palla
Parmen Crane,Parmen Crane
Parquello Vaelaros,Parquello Vaelaros
Patchface,Patchface
Pate,
Pate of Lancewood,Pate of Lancewood
Pate of Mory,Pate of Mory
Pate of Sevenstreams,Tom of Sevenstreams
Pate of Shermer's Grove,Pate of Shermer's Grove
Patrek Mallister,Patrek Mallister
Paul,Small Paul
Paxter Redwyne,Paxter Redwyne
Pello,Greenbeard
Penny,Penny
Perkin Follard,Perkin Follard
Perros Blackmont,Perros Blackmont
Perwyn Frey,Perwyn Frey
Petyr Baelish,Petyr Baelish
Petyr Frey,Petyr Frey
Philip Foote,Philip Foote
Philip Plumm,Philip Plumm
Pia,Pia
Pinkeye,Mebble Pinkeye
plague face,Plague face
Podrick Payne,Podrick Payne
Pollitor,Pollitor
Polliver,Polliver
Pono,Pono
Porridge,Porridge
Porther,Porther
Portifer Woodwright,Portifer Woodwright
Poul Pemford,Poul Pemford
Poxy Tym,Poxy Tym
Praed,Praed
Prendahl na Ghezn,Prendahl na Ghezn
Preston Greenfield,Preston Greenfield
Princess Daeryssa,Daeryssa
Puckens,Puckens
Pudding Face,Gorzhak zo Eraz
Puddingfoot,Puddingfoot
Pyat Pree,Pyat Pree
Pyg,Pyg
Pyke guard,
Pylos,Pylos
Pynto,Pynto
Pypar,Pypar
Pytho Malanon,Pytho Malanon
Qarl,
Qarl Kenning,Qarl Kenning
Qarl Quickaxe,Qarl Quickaxe
Qarl Shepherd,Qarl Shepherd
Qarl the Maid,Qarl the Maid
Qarl the Thrall,Qarl the Thrall
Qarlton Chelsted,Qarlton Chelsted
Qavo Nogarys,Qavo Nogarys
Qezza,Qezza Galare
Qhorin Halfhand,Qhorin Halfhand
Qos,Qos
Qotho,Qotho
Quaithe,Quaithe of the Shadow
Quaro,Quaro
Queen Whore,Queen Whore
Quellon Greyjoy,Quellon Greyjoy
Quellon Humble,Quellon Humble
Quence,Quence
Quenn,Quenn
Quent,Quent
Quenten Banefort,Quenten Banefort
Quenton Greyjoy,Quenton Greyjoy
Quenton Hightower,Quenton Hightower
Quentyn Martell,Quentyn Martell
Quhuru Mo,Quhuru Mo
Quill,Quill
Quincy Cox,Quincy Cox
Quort,Quort
Qyburn,Qyburn
Qyle,Qyle
Raff the Sweetling,Rafford
Ragnor Pyke,Ragnor Pyke
Ragwyle,Ragwyle
Rakharo,Rakharo
Ralf Kenning,Ralf Kenning
Ralf of Lordsport,Ralf of Lordsport
Ralf Stonehouse,Ralf Stonehouse
Ralf the Limper,Ralf the Limper
Ralf the Shepherd,Ralf the Shepherd
Ralph Buckler,Ralph Buckler
Ramsay Snow,Ramsay Snow
Randa,Randa
Randyll Tarly,Randyll Tarly
Rast,Rast
Rattleshirt,Rattleshirt
Ravella Smallwood,Ravella Swann
Raymar Royce,Raymar Royce
Raymond Nayland,Raymond Nayland
Raymun Darry,Raymun Darry
Raymun Redbeard,Raymun Redbeard
Raymund Connington,Raymund Connington
Raymund Frey,Raymund Frey
Raynald Westerling,Raynald Westerling
Raynard Ruttiger,Raynard Ruttiger
Red Alyn,Red Alyn of the Rosewood
Red Lamb,Red Lamb
Red Roggo,Roggo
Red Walder,Walder Frey (son of Emmon)
Redfort,
Redwyn,Redwyn
Reek,Reek
Regenard Estren,Regenard Estren
Renfred Rykker,Renfred Rykker
Renly Baratheon,Renly Baratheon
Rennifer Longwaters,Rennifer Longwaters
Reysen,Reysen
Reyser,Reysen
Reznak mo Reznak,Reznak mo Reznak
Rhaegar Frey,Rhaegar Frey
Rhaegar Targaryen,Rhaegar Targaryen
Rhaella Targaryen,Rhaella Targaryen
Rhaelle Targaryen,Rhaelle Targaryen
Rhaenyra Targaryen,Rhaenyra Targaryen
Rhaenys I Targaryen,Rhaenys Targaryen
Rhaenys Targaryen,Rhaenys Targaryen (daughter of Rhaegar)
Rhodry,Rhodry
Rhogoro,Rhogoro
Ricasso,Ricasso
Richard Farrow,Richard Farrow
Richard Horpe,Richard Horpe
Richard Lonmouth,Richard Lonmouth
Rickard Karstark,Rickard Karstark
Rickard Ryswell,Rickard Ryswell
Rickard Stark,Rickard Stark
Rickon Stark,Rickon Stark
Robar Royce,Robar Royce
Robb Stark,Robb Stark
Robert Arryn,Robert Arryn
Robert Baratheon,Robert I Baratheon
Robert Blackwood,Robert Blackwood
Robert Flowers,Robert Flowers
Robert Strong,Robert Strong
Robett Glover,Robett Glover
Robin,Robin
Robin Flint,Robin Flint
Robin Greyjoy,Robin Greyjoy
Robin Hill,Robin Hill
Robin Hollard,Robin Hollard
Robin Moreland,Robin Moreland
Robin Peasebury,Robin Peasebury
Robin Potter,Robin Potter
Robin Ryger,Robin Ryger
Rodrik Cassel,Rodrik Cassel
Rodrik Flint,Rodrik Flint
Rodrik Freeborn,Rodrik Freeborn
Rodrik Greyjoy,Rodrik Greyjoy
Rodrik Harlaw,Rodrik Harlaw
Rodrik Ryswell,Rodrik Ryswell
Rodrik Sparr,Rodrik Sparr
Rodrik Stark,Rodrik Stark
Roger Hogg,Roger Hogg
Roger Ryswell,Roger Ryswell
Roggon Rustbeard,Roggon Rustbeard
Roland Crakehall,
Rolder,Rolder
Rolfe,Rolfe
Rolfe the Dwarf,Rolfe the Dwarf
Rollam Westerling,Rollam Westerling
Rolland Darklyn,Rolland Darklyn
Rolland Longthorpe,Rolland Longthorpe
Rolland Storm,Rolland Storm
Rolley,Rolley
Rolly Duckfield,Rolly Duckfield
Rolph Spicer,Rolph Spicer
Rommo,Rommo
Romny Weaver,Romny Weaver
Ronald Connington,Ronald Connington
Ronald Storm,Ronald Storm
Ronel Rivers,Ronel Rivers
Ronnel Arryn,Ronnel Arryn (son of Jasper)
Ronnel Harclay,Ronnel Harclay
Ronnet Connington,Ronnet Connington
Rook,Rook
Roone,Roone
Roose Bolton,Roose Bolton
Roose Ryswell,Roose Ryswell
Rorge,Rorge
Roro Uhoris,Roro Uhoris
Rory,Rory
Roryn the Reaver,Roryn Drumm
Rosamund Lannister,Rosamund Lannister
Rosey,Rosey
Roslin Frey,Roslin Frey
Rossart,Rossart
Rowan,Rowan
Rudge,Rudge
Rufus Leek,Rufus Leek
Runceford Redwyne,Runceford Redwyne
Runcel Hightower,Runcel Hightower
Rupert Brax,Rupert Brax
Rupert Crabb,Rupert Crabb
Rus,Rus
Russell Merryweather,Russell Merryweather
Rusty Flowers,Rusty Flowers
Ryam Florent,Ryam Florent
Ryam Redwyne,Ryam Redwyne
Ryger Rivers,Ryger Rivers
Ryk,Ryk
Ryles,Ryles
Rylona Rhee,Rylona Rhee
Ryman Frey,Ryman Frey
Rymolf Stormdrunk,Rymolf Stormdrunk
Rymund the Rhymer,Rymund the Rhymer
Ryon Allyrion,Ryon Allyrion
Saathos the Wise,Saathos the Wise
Salladhor Saan,Salladhor Saan
Sallor,Sallor the Bald
Sallor the Bald,Sallor the Bald
Salloreon,Salloreon
Sam Stone,Samwell Stone
Samwell Spicer,Samwell Spicer
Samwell Tarly,Samwell Tarly
Sandor Clegane,Sandor Clegane
Sansa Stark,Sansa Stark
Sarella Sand,Sarella Sand
Sarra Frey,Sarra Frey
Satin,Satin
Sawane Botley,Sawane Botley
Sawwood,Sawwood
Scales,Scales
Scar,Scar
Scarb,Scarb
Sealord of Braavos,
seamstress,
Sedgekins,Sedgekins
Selwyn Tarth,Selwyn Tarth
Selyse Baratheon,Selyse Florent
Selywyn Tarth,Selwyn Tarth
Senelle,Senelle
Septa Aglantine,Aglantine
Septa Donyse,Donyse
Septa Eglantine,Eglantine
Septa Lemore,Lemore
Septa Melicent,Melicent
Septa Moelle,Moelle
Septa Mordane,Mordane
Septa Nystercia,Nysterica
Septa Roelle,Roelle
Septa Saranella,Saranella
Septa Scolera,Scolera
Septa Unella,Unella
Septon 1,
Septon Barre,Barre
Septon Barth,Barth
Septon Bennet,Bennet
Septon Cellador,Cellador
Septon Chayle,Chayle
Septon Jorquen,Jorquen
Septon Luceon,Luceon Frey
Septon Lucos,Lucos
Septon Meribald,Meribald
Septon Murmison,Murmison
Septon Osmynd,Osmynd
Septon Raynard,Raynard
Septon Torbert,Torbert
Ser Arneld,Arneld
Ser Arnell,Arnell
Ser Cadwyn,Cadwyn
Ser Colen of Greenpools,Colen of Greenpools
Ser Dorden,Dorden the Dour
Ser Dudley,Dudley
Ser Dunaver,Dunaver
Ser Errol,Errold Stark
Ser Florian,
Ser Galladon of Morne,Galladon of Morne
Ser Gascoyne,Gascoyne of the Greenblood
Ser Harbert,Harbert
Ser Lyonel,Lyonel
Ser Malcolm,Malcolm
Ser Malegorn,Malegorn of Redpool
Ser Maynard,Maynard
Ser Morghil,
Ser Morgil,Morgil Hastwyck
Ser Ormond,Ormond
Ser Patrek,Patrek of King's Mountain
Ser Tallad,Tallad
Ser Tristimun,Tristimun
Ser Warren,Warren
Ser Wilbert,
Ser Willum,
Serala Darklyn,Serala of Myr
Serra,Serra
Serra Frey,Serra Frey
Serwyn of the Mirror Shield,Serwyn of the Mirror Shield
Shadd,Shadd
Shadrich,Shadrick
Shae,Shae
Shagga,Shagga
Shagwell,Shagwell the Fool
Sharna,Sharna
Shella Whent,Shella Whent
Shiera Seastar,Shiera Seastar
Shireen Baratheon,Shireen Baratheon
Shirei Frey,Shirei Frey
Shitmouth,Shitmouth
Shortear,Shortear
Shyra,Shyra
Shyra Errol,Shyra Errol
Sigfry Stonetree,Sigfry Stonetree
Sigfryd Harlaw,Sigfryd Harlaw
Sigorn,Sigorn
Sigrin,Sigrin
Silveraxe,Silveraxe Fell
Simon Toyne,Simon Toyne
Six-Toed Harl,Six-Toed Harl
Skahaz mo Kandaq,Skahaz mo Kandaq
Skinner,Skinner
Skittrick,Skittrick
Skyte,Skyte
Sloey,Sloey
Smalljon Umber,Jon Umber (son of Jon)
Snatch,Snatch
Snowylocks,Snowylocks
Softfoot,Softfoot
son Rambton B,
son Rambton C,
Soren Shieldbreaker,Soren Shieldbreaker
Sorrowful Man,
Sour Alyn,Sour Alyn
Spare Boot,Spare Boot
Spotted Pate,Spotted Pate
Squint,Squint
Squire Dallbridge,Dalbridge
Squire Sarsfield,Pimply squire
Squirrel,Squirrel
stableboy,
stableman,
Stafford Lannister,Stafford Lannister
Stalwart Shield,Stalwart Shield
Stannis Baratheon,Stannis Baratheon
Stannis Seaworth,Stannis Seaworth
Steelshanks Walton,Steelshanks Walton
Steelskin,Steelskin
Steffar Stammerer,Steffar Stammerer
Steffarion Sparr,Steffarion Sparr
Steffon Baratheon,Steffon Baratheon
Steffon Hollard,Steffon Hollard
Steffon Seaworth,Steffon Seaworth
Steffon Swyft,Steffon Swyft
Steffon Varner,Steffon Varner
Stevron Frey,Stevron Frey
steward of Deepwood Motte,
Stiv,Stiv
Stone Thumbs,Stone Thumbs
Stonehand,Stonehand
Stonesnake,Stonesnake
Stygg,Stygg
Styr,Styr
Su,Sky Blue Su
Sumner Crakehall,Sumner Crakehall
S'vrone,S'vrone
Sweets,Sweets
Sybassion,Sybassion
Sybell Westerling,Sybell Spicer
Sybelle Glover,Sybelle Glover
Sylas Flatnose,Sylas Flatnose
Sylas Sourmouth,Sylas Sourmouth
Sylva Santagar,Sylva Santagar
Symeon Star-Eyes,Symeon Star-Eyes
Symon Hollard,Symon Hollard
Symon Santagar,Symon Santagar
Symon Silver Tongue,Symon Silver Tongue
Symon Stripeback,Symon Stripeback
Symond Frey,Symond Frey
Symond Templeton,Symond Templeton
Syrio Forel,Syrio Forel
Taena Merryweather,Taena of Myr
Tagganaro,Tagganaro
Talbert Serry,Talbert Serry
Talea,Talea
Talla Tarly,Talla Tarly
Tallad,Tallad
Tanda Stokeworth,Tanda Stokeworth
Tansy,Tansy (innkeep)
Tanton Fossoway,Tanton Fossoway
Tarber,Tarber
Tarle,Tarle the Thrice-Drowned
Temmo,Temmo
Ternesio Terys,Ternesio Terys
Terrance Lynderly,Terrance Lynderly
Terrence Toyne,Terrence Toyne
Terro,Terro
The Alchemist,Alchemist
The Bastard of Uplands,Blackshield
The Beastmaster,Beastmaster
The Blue Bard,Wat
the brewer,Barth (brewer)
The Charioteer,Charioteer
the chief cook,
the crying girl,
The Demon of Darry,Demon of Darry
The Drunken Conqueror,Morghaz zo Zherzyn
the fat fellow,Fat Fellow
the fifth man,
the gaoler,
The Girl General,Malazza
The Great Walrus,Great Walrus
the Greatheart,Greatheart
The Grey King,Grey King
The Griffin King,Griffin King
the handsome man,Handsome Man
The Horned Lord,Horned Lord
the Horned Lord,Horned Lord
The Huntsman,Harle the Huntsman
the kindly man,Kindly man
the king's herald,
the king's steward,
the Knott,
The Last Hero,Last hero
the Liddle,Torren Liddle
The Little Pigeon,Paezhar zo Myraq
the lordling,Lordling
the miller's boy 1,
the miller's boy 2,
the miller's wife,Miller's Wife
the night walker,
The Nightingale,Nightingale
the Norrey,Brandon Norrey
The Old Grey Gull,Old Grey Gull
The Perfumed Hero,Perfumed Hero
the pisswater prince,Pisswater Prince
The Poetess,Poetess
The Rabbit,Faezhar zo Faez
the Rainbow Knight,Rainbow Knight
the Rat Cook,Rat Cook
The Red Oarsman,Red Oarsman
The Sailor's Wife,Sailor's Wife
The Shrouded Lord,Shrouded Lord
the skinny man,
The Smiling Knight,Smiling Knight
The Sparr,The Sparr
The Spotted Cat,Spotted Cat
the squinter,Squinter
the starved man,Starved man
the stern face,Stern face
The Stonehouse,The Stonehouse
The Tattered Prince,Tattered Prince
The Tickler,The Tickler
The Veiled Lady,Veiled Lady
the waif,Waif
the watcher,
The Weeper,Weeper
the widow of the waterfront,Widow of the waterfront
Theo Frey,Theo Frey
Theo Wull,Theo Wull
Theodan Wells,Theodan Wells
Theomar Smallwood,Theomar Smallwood
Theomore Harlaw,Theomore Harlaw
Theon Greyjoy,Theon Greyjoy
Theon Stark,Theon Stark
Therry,Therry
Thistle,Thistle
Thoren Smallwood,Thoren Smallwood
Thormor Ironmaker,Thormor Ironmaker
Thoros of Myr,Thoros of Myr
Three Toes,Three Toes
three-eyed Crow,Brynden Rivers
three-eyed crow,Brynden Rivers
Three-Tooth,Three-Tooth
Tim Stone,Tim Stone
Tim Tangletongue,Tim Tangletongue
Timeon,Timeon
Timett,Timett
Timon Scrapesword,Scrapesword
Timoth,Timoth
Tion Frey,Tion Frey
Tobbot,Tobbot
Tobho Mott,Tobho Mott
Todder,Todder
Todric,Todric
Toefinger,Toefinger
Tom Barleycorn,Tom Barleycorn
Tom Codd,Tom Codd
Tom Costayne,Tom Costayne
Tom Sevenstrings,Tom of Sevenstreams
Tom Tidewood,Tom Tidewood
Tomard,Tomard
Tommen Baratheon,Tommen Baratheon
Tommen II Lannister,Tommen II Lannister
TomToo,Tom
Toregg,Toregg the Tall
Torghen Flint,Torghen Flint
Torgon Greyiron,Torgon Greyiron
Tormo Fregar,Tormo Fregar
Tormund,Tormund
Torrek,Torrek
Torrhen Karstark,Torrhen Karstark
Torrhen Stark,Torrhen Stark
Torwold Browntooth,Torwold Browntooth
Torwynd,Torwynd
Tregar,Tregar
Tregar Ormollen,Tregar Ormollen
Tremond Gargalen,Tremond Gargalen
Trianna,Trianna
Triarch Belicho,Belicho
Tristan Mudd,Tristan Mudd
