"Name","X","Y"
"Vale noblemen_13.21",-309.29376,304.08945
"Vardis Egen",-465.94427,117.41831
"Vargo Hoat",-1132.1188,-728.97833
"Varys's men_27.22",844.17847,-313.6491
"Vhagar",309.79166,-1448.8314
"Victarion Greyjoy",-1228.7704,740.0152
"Victim_20.6",1087.598,-971.8519
"Villagers_12.4",-915.5036,663.1496
"Villagers_20.4",1552.2449,-195.37373
"Villagers_20.9",857.51324,-739.6031
"Villagers_5.5",122.177956,-548.74164
"Villagers_7.23",139.22304,-1566.3854
"Visenya Targaryen",272.24057,-1544.112
"Viserion",1197.3221,-777.88007
"Viserys Targaryen",930.66425,-1103.0176
"Vylarr",536.17487,143.7429
"Waitress_2.16",307.80435,1055.9711
"Walder Frey",-1340.3832,60.257626
"Wallen",-204.13547,674.0683
"Waymar Royce",-22.120584,426.70386
"Waynwood men_11.3",-456.00848,18.829212
"Weasel",-932.8011,-183.9382
"Weese",-866.28815,-1170.1426
"Wendel Manderly",-638.84576,-167.2078
"Werlag",-395.00256,1061.547
"Wex Pyke",-670.3422,1055.2528
"Whent men_9.6",-330.836,79.193436
"Whore_21.25",-386.89038,-1407.8833
"Wildling_48.6",523.64185,1412.7388
"Wildlings_55.10",296.34964,1168.3115
"Will",8.988534,1209.9081
"Willem Darry",960.08154,-1226.9375
"Wine merchant_17.28",1132.1735,-1100.7634
"Wizards_46.19",1430.4978,-231.16736
"Wolf_30.11",-431.23032,-1045.1598
"Woman_30.8",-1015.05316,-224.30807
"Woth",-856.55994,-467.66467
"Wylis Manderly",-814.92316,192.58624
"Wyman Manderly",-1425.7034,468.39243
"Xaro Xhoan Daxos",1247.7384,-563.97437
"Ygritte",335.79297,1354.0751
"Yoren",-382.296,157.62787
